"id","nombre y apellido","edad","fecha_nacimiento","altura","peso","fecha_carga"
"1","María Gómez","18","12/07/2006","1.45","85.7","2020-05-10 01:05:05"
"2","María Fernández","64","14/11/1960","1.76","83.6","2023-02-13 00:14:11"
"3","Pedro Sánchez","54","11/07/1970","1.57","50.1","2022-12-19 01:34:55"
"4","Miguel Torres","74","14/03/1951","1.55","79.6","2022-02-26 02:31:56"
"5","Juan Fernández","15","09/05/2009","1.83","65.9","2021-10-28 13:28:40"
"6","Ana Fernández","26","15/02/2000","1.7","54.4","2024-04-03 09:49:42"
"7","José Fernández","23","02/06/2001","1.42","62.3","2023-07-12 07:44:29"
"8","Miguel Sánchez","28","02/09/1997","1.77","74.6","2024-06-23 13:10:47"
"9","Lucía López","39","17/09/1985","1.48","53.8","2024-04-25 13:53:39"
"10","Laura García","39","21/06/1987","1.41","84.6","2022-12-28 23:20:12"
"11","Ana Pérez","59","01/05/1966","2.24","59.5","2021-03-11 22:45:59"
"12","Carlos Torres","31","19/08/1994","vacio","87.8","2023-08-20 17:47:22"
"13","Juan Pérez","53","25/07/1972","1.52","76.2","2020-10-10 19:23:42"
"14","Pedro López","27","10/03/1999","1.66","78.4","2022-04-03 11:20:57"
"15","Sofía Martínez","46","21/04/1979","1.51","63.6","2022-06-21 00:15:42"
"16","María Gómez","4","15/07/1960","1.44","58.1","2021-06-25 20:47:27"
"17","Laura García","64","19/10/1961","1.45","68.7","2020-08-09 23:47:29"
"18","María Gómez","48","14/02/1976","1.5","69.7","2022-10-20 02:44:40"
"19","Miguel Torres","69","13/10/1948","1.88","96.0","2025-06-12 17:31:32"
"20","Lucía Sánchez","79","05/04/1945","1.53","88.1","2025-06-16 05:38:09"
"21","Lucía Rodríguez","67","13/07/1959","1.43","62.2","2021-10-06 02:04:15"
"22","José Pérez","8","02/09/1956","1.52","51.6","2020-06-11 22:33:03"
"23","María Sánchez","28","22/12/1998","1.53","81.8","2021-06-20 23:30:07"
"24","Carlos García","56","13/05/1968","1.96","99.8","2022-12-22 04:49:21"
"25","Ana Pérez","63","30/11/1961","1.67","61.6","2020-02-02 20:11:32"
"26","Carlos Pérez","72","18/01/1952","1.48","60.5","2022-12-17 18:24:04"
"27","Miguel Rodríguez","54","22/07/1944","1.42","63.3","2021-10-23 16:05:12"
"28","José Sánchez","0","27/04/1990","1.75","53.2","2021-08-29 15:38:53"
"29","Pedro Gómez","57","28/08/1967","1.51","58.7","2024-07-22 22:35:51"
"30","Pedro Fernández","70","30/07/1954","1.41","85.5","2022-10-13 09:42:50"
"31","Pedro Pérez","51","27/04/1974","1.81","70.3","2022-07-21 08:06:59"
"32","Juan Fernández","49","30/09/1975","1.54","80.3","2023-09-18 01:00:17"
"33","María Rodríguez","69","08/01/1956","2.5","85.1","2025-09-25 04:12:37"
"34","Sofía Romero","69","19/01/1957","1.66","89.4","2022-03-18 13:15:39"
"35","Sofía Pérez","27","04/08/1999","1.82","84.6","2024-07-30 11:52:33"
"36","Sofía Rodríguez","36","26/09/1989","1.59","86.1","2024-07-21 19:56:59"
"37","Juan Rodríguez","61","27/09/1965","1.56","69.3","2021-11-26 23:59:16"
"38","María Rodríguez","40","30/03/1986","1.81","86.3","2022-03-26 05:21:53"
"39","Juan Gómez","65","19/12/1961","1.44","67.8","2024-04-21 17:59:59"
"40","Sofía Fernández","71","28/03/1953","1.83","93.7","2025-03-17 01:49:42"
"41","José Fernández","75","20/11/1950","1.89","77.7","2025-08-29 15:32:13"
